City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,wailea,19.8858,-155.123,73.29,86,75,8.05,US,1689960072
84,utrik,11.2278,169.8474,82.74,79,93,19.53,MH,1689959984
85,wurtulla,-26.7568,153.1256,54.3,66,2,9.78,AU,1689960073
86,fale old settlement,-9.3852,-171.2468,83.14,74,100,8.12,TK,1689960073
87,ribeira grande,38.5167,-28.7,72.0,83,75,4.61,PT,1689959922
88,pacific grove,36.6177,-121.9166,73.81,94,100,11.99,US,1689960232
89,richfield,44.8833,-93.283,82.98,48,75,9.22,US,1689960073
90,ampanihy,-24.7,44.75,61.45,72,67,15.23,MG,1689960074
91,arraial do cabo,-22.9661,-42.0278,75.06,60,20,17.27,BR,1689959941
92,margaret river,-33.95,115.0667,53.58,73,1,4.36,AU,1689959963
93,marquette,46.5333,-87.6335,77.25,70,1,4.0,US,1689960074
94,enewetak,11.3474,162.3373,82.89,80,53,15.79,MH,1689959936
95,ola,59.5833,151.2833,50.14,95,77,7.45,RU,1689959965
96,tiksi,71.6872,128.8694,42.66,73,100,7.78,RU,1689959940
97,stanley,54.868,-1.6985,58.73,82,40,6.91,GB,1689959676
98,san juan de los morros,9.9115,-67.3538,80.64,77,72,6.02,VE,1689960075
99,alaminos,14.0639,121.2465,80.29,95,51,1.59,PH,1689960075
100,lae,-6.7221,146.9847,74.68,90,31,4.21,PG,1689960075
101,papatowai,-46.5619,169.4708,40.87,74,2,11.97,NZ,1689959993
102,bredasdorp,-34.5322,20.0403,48.13,63,37,3.22,ZA,1689959989
103,st ives,50.2086,-5.4875,64.4,72,20,11.5,GB,1689960076
104,oriximina,-1.7656,-55.8661,92.95,39,59,6.08,BR,1689959805
105,sabang,5.8933,95.3214,83.8,75,100,16.42,ID,1689960076
106,carnarvon,-24.8667,113.6333,60.22,33,87,21.59,AU,1689959942
107,hithadhoo,-0.6,73.0833,83.05,78,90,12.06,MV,1689959983
108,la ronge,55.1001,-105.2842,73.62,53,75,3.44,CA,1689960077
109,swan hill,-35.3378,143.5544,40.87,81,11,4.68,AU,1689960077
110,saipan,15.1355,145.701,81.64,100,20,5.75,MP,1689959709
111,dangriga,16.9692,-88.2321,82.42,81,100,2.91,BZ,1689960077
112,damara,4.9608,18.7035,75.52,91,100,1.21,CF,1689960077
113,newman,37.3138,-121.0208,89.94,16,0,6.58,US,1689959937
114,vilyuchinsk,52.9306,158.4028,52.07,93,43,9.31,RU,1689959988
115,selfoss,63.9331,-20.9971,57.04,73,80,11.16,IS,1689959997
116,susuman,62.7833,148.1667,61.02,64,4,6.06,RU,1689960078
117,tokat,40.4167,36.5833,59.38,67,0,4.92,TR,1689960078
118,port elizabeth,-33.918,25.5701,65.1,72,0,10.36,ZA,1689959924
119,howard springs,-12.497,131.047,72.82,65,6,2.01,AU,1689960079
120,san antonio de pale,-1.4014,5.6325,74.01,72,72,8.66,GQ,1689960079
121,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,100,20,4.47,RU,1689959722
122,yaren,-0.5472,166.916,80.76,78,100,6.64,NR,1689960080
123,avarua,-21.2078,-159.775,71.65,68,40,20.71,CK,1689959994
124,uzhur,55.3036,89.8339,61.02,88,92,3.74,RU,1689960080
125,mount gambier,-37.8333,140.7667,48.43,89,100,6.98,AU,1689959941
126,vila franca do campo,37.7167,-25.4333,72.01,88,100,2.01,PT,1689959981
127,taltal,-25.4,-70.4833,64.58,71,100,1.14,CL,1689960081
128,cromwell,41.5951,-72.6454,82.51,82,100,10.36,US,1689960008
129,chibougamau,49.9168,-74.3659,62.22,94,100,4.23,CA,1689960081
130,saint-philippe,-21.3585,55.7679,67.59,78,37,12.88,RE,1689960081
131,gonzaga,44.9498,10.8209,83.68,60,4,4.94,IT,1689960082
132,tura,25.5198,90.2201,76.05,96,98,4.59,IN,1689959980
133,hawaiian paradise park,19.5933,-154.9731,72.91,93,75,8.05,US,1689959939
134,ilulissat,69.2167,-51.1,42.82,93,75,5.75,GL,1689959937
135,tan-tan,28.438,-11.1032,75.15,68,20,26.46,MA,1689960083
136,bontang,0.1333,117.5,75.97,91,95,10.13,ID,1689960083
137,nemuro,43.3236,145.575,58.51,97,11,9.71,JP,1689959921
138,shakhtersk,48.0625,38.5167,72.32,60,43,7.07,UA,1689960083
139,lebu,-37.6167,-73.65,53.29,86,100,12.48,CL,1689959967
140,hamilton,39.1834,-84.5333,81.48,62,20,10.36,US,1689959784
141,bethel,41.3712,-73.414,83.48,70,75,13.8,US,1689959670
142,saldanha,-33.0117,17.9442,50.05,57,25,6.89,ZA,1689960084
143,queenstown,-31.8976,26.8753,50.49,67,83,5.26,ZA,1689960084
144,tobelo,1.7284,128.0095,79.0,85,30,6.67,ID,1689960085
145,chizhou,30.6578,117.4831,78.62,92,80,3.02,CN,1689960085
146,longyearbyen,78.2186,15.6401,46.24,81,75,14.97,SJ,1689959938
147,vorkuta,67.5,64.0,69.35,72,90,6.02,RU,1689960085
148,ushuaia,-54.8,-68.3,29.86,69,20,16.11,AR,1689959680
149,flying fish cove,-10.4217,105.6791,74.88,83,100,14.97,CX,1689959774
150,tamanrasset,22.785,5.5228,91.31,11,0,6.91,DZ,1689959822
151,thompson,55.7435,-97.8558,71.76,60,75,12.66,CA,1689959983
152,al muwayh,22.4333,41.7583,96.35,10,100,19.08,SA,1689960086
153,novoagansk,61.9449,76.6625,61.95,94,53,4.29,RU,1689960087
154,urangan,-25.3,152.9,61.75,64,18,7.16,AU,1689960087
155,khairpur tamewah,29.5811,72.2364,102.74,37,28,9.64,PK,1689960087
156,sisimiut,66.9395,-53.6735,42.53,95,100,16.42,GL,1689959993
157,dunedin,-45.8742,170.5036,45.81,73,7,8.01,NZ,1689960088
158,mora,11.0461,14.1401,91.81,36,50,6.26,CM,1689959981
159,pundong,-7.9522,110.3486,72.59,85,12,7.45,ID,1689960088
160,kankaanpaa,61.8,22.4167,63.36,60,96,6.53,FI,1689960088
161,remire-montjoly,4.9167,-52.2667,84.24,74,75,10.36,GF,1689960088
162,afaahiti,-17.75,-149.2833,66.07,64,48,13.27,PF,1689959732
163,edinburgh of the seven seas,-37.0676,-12.3116,53.17,63,84,19.06,SH,1689959926
164,bodaybo,57.8506,114.1933,58.01,90,53,2.42,RU,1689960089
165,georgetown,5.4112,100.3354,83.95,89,20,3.44,MY,1689959872
166,moldava nad bodvou,48.6143,20.9996,68.14,77,0,1.14,SK,1689960089
167,manokwari,-0.8667,134.0833,78.08,79,10,5.1,ID,1689960242
168,st. john's,47.5649,-52.7093,85.28,67,20,17.27,CA,1689959761
169,suva,-18.1416,178.4415,69.28,100,75,3.44,FJ,1689960090
170,ust'-ilimsk,58.0006,102.6619,63.46,62,0,3.13,RU,1689960090
171,timbiqui,2.7717,-77.6654,86.99,69,100,5.66,CO,1689960090
172,whitehorse,60.7161,-135.0538,70.11,59,75,2.3,CA,1689959928
173,westport,41.1415,-73.3579,85.08,73,0,8.05,US,1689959907
174,jamestown,42.097,-79.2353,71.53,73,75,13.8,US,1689959979
175,dompu,-8.5356,118.4622,71.01,94,26,3.18,ID,1689960091
176,alofi,-19.0595,-169.9187,73.29,94,72,14.97,NU,1689959942
177,saint augustine beach,29.8505,-81.2654,97.14,55,0,11.5,US,1689960091
178,tazacorte,28.629,-17.9293,77.97,65,20,19.57,ES,1689959993
179,sambava,-14.2667,50.1667,72.54,86,100,14.27,MG,1689960092
180,gurupi,-11.7292,-49.0686,91.11,20,12,11.68,BR,1689960092
181,canto do buriti,-8.11,-42.9444,90.86,24,4,11.95,BR,1689960092
182,bamboo flat,11.7,92.7167,82.49,89,75,6.91,IN,1689960244
183,geraldton,-28.7667,114.6,45.01,93,4,3.44,AU,1689959844
184,ust-nera,64.5667,143.2,60.53,87,89,4.07,RU,1689959923
185,guerrero negro,27.9769,-114.0611,73.42,66,99,13.62,MX,1689960093
186,tughyl,47.7252,84.2063,76.84,39,81,6.42,KZ,1689960032
187,kharabali,47.4196,47.2568,82.4,45,35,8.97,RU,1689960093
188,weno,7.4515,151.8468,78.75,100,100,0.0,FM,1689960094
189,oujda-angad,34.6805,-1.9076,81.23,36,40,18.41,MA,1689960094
190,carutapera,-1.195,-46.02,82.62,66,26,9.37,BR,1689960245
191,cidreira,-30.1811,-50.2056,67.44,78,1,12.88,BR,1689960094
192,prattville,32.464,-86.4597,93.65,61,40,10.36,US,1689960094
193,anadyr,64.75,177.4833,54.1,93,40,2.24,RU,1689959936
194,constantia,44.1833,28.65,77.7,71,0,10.76,RO,1689959921
195,eyl,7.9803,49.8164,80.83,74,95,27.0,SO,1689960095
196,rio san juan,19.6439,-70.0763,87.13,64,28,14.09,DO,1689960095
197,atafu village,-8.5421,-172.5159,83.43,73,97,9.64,TK,1689959981
198,damghan,36.1683,54.348,89.71,19,1,12.24,IR,1689960095
199,tromso,69.6496,18.957,60.39,77,75,11.5,NO,1689960096
200,buxton,53.2574,-1.9098,63.18,70,89,3.0,GB,1689960096
201,markala,13.7021,-6.0659,100.33,28,89,8.52,ML,1689960096
202,yarmouth,41.7057,-70.2286,79.97,80,0,5.75,US,1689959990
203,port lincoln,-34.7333,135.8667,54.88,74,100,13.04,AU,1689959972
204,mount isa,-20.7333,139.5,58.77,51,0,19.57,AU,1689959986
205,dan sadau,11.2962,6.4952,75.4,80,100,3.31,NG,1689960096
206,talnakh,69.4865,88.3972,69.21,66,96,8.43,RU,1689960097
207,hancheng,32.5186,112.3522,77.65,91,51,5.28,CN,1689960097
208,san luis de la loma,17.2706,-100.8939,90.14,60,27,7.43,MX,1689960097
209,rosa zarate,0.3333,-79.4667,86.23,68,71,4.68,EC,1689960097
210,zouerate,22.7187,-12.4521,110.05,8,0,11.27,MR,1689959907
211,saudarkrokur,65.7461,-19.6394,55.81,73,93,1.03,IS,1689960097
212,klyuchi,52.2667,79.1667,69.49,65,80,8.16,RU,1689959940
213,sao felix do xingu,-6.6447,-51.995,95.5,16,0,5.97,BR,1689960098
214,yeppoon,-23.1333,150.7333,56.98,81,52,5.46,AU,1689960098
215,pangody,65.85,74.4859,67.95,67,96,4.54,RU,1689960098
216,yerofey pavlovich,53.9667,121.9667,52.36,81,37,4.47,RU,1689960098
217,daru,-9.0763,143.2092,76.89,82,100,15.77,PG,1689960098
218,rikaze,29.25,88.8833,64.94,40,34,6.11,CN,1689960099
